date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1969-11-01,Italy,France,1,0,Euro,Novara,Italy,False
1969-11-01,Denmark,England,4,3,Euro,Aosta,Italy,True
1969-11-02,England,France,2,0,Euro,Turin,Italy,True
1969-11-02,Italy,Denmark,3,1,Euro,Turin,Italy,False
1975-08-25,Thailand,Australia,3,2,AFC Championship,Hong Kong,Hong Kong,True
1975-08-25,Hong Kong,New Zealand,0,2,AFC Championship,Hong Kong,Hong Kong,False
1975-08-27,Thailand,Singapore,3,0,AFC Championship,Hong Kong,Hong Kong,True
1975-08-27,New Zealand,Malaysia,3,0,AFC Championship,Hong Kong,Hong Kong,True
1975-08-29,Australia,Singapore,3,0,AFC Championship,Hong Kong,Hong Kong,True
1975-08-29,Hong Kong,Malaysia,0,2,AFC Championship,Hong Kong,Hong Kong,False
1975-08-31,New Zealand,Australia,3,2,AFC Championship,Hong Kong,Hong Kong,True
1975-08-31,Thailand,Malaysia,3,0,AFC Championship,Hong Kong,Hong Kong,True
1975-09-02,Australia,Malaysia,5,0,AFC Championship,Hong Kong,Hong Kong,True
1975-09-02,New Zealand,Thailand,3,1,AFC Championship,Hong Kong,Hong Kong,True
1977-08-02,Taiwan,Indonesia,5,0,AFC Championship,Taipei,Taiwan,False
1977-08-03,Thailand,Singapore,2,0,AFC Championship,Taipei,Taiwan,True
1977-08-05,Indonesia,Japan,1,0,AFC Championship,Taipei,Taiwan,True
1977-08-05,Thailand,Hong Kong,5,0,AFC Championship,Taipei,Taiwan,True
1977-08-07,Taiwan,Japan,7,0,AFC Championship,Taipei,Taiwan,False
1977-08-07,Singapore,Hong Kong,1,0,AFC Championship,Taipei,Taiwan,True
1977-08-09,Taiwan,Singapore,3,0,AFC Championship,Taipei,Taiwan,False
1977-08-09,Thailand,Indonesia,2,1,AFC Championship,Taipei,Taiwan,True
1977-08-11,Singapore,Indonesia,2,0,AFC Championship,Taipei,Taiwan,True
1977-08-11,Taiwan,Thailand,1,0,AFC Championship,Taipei,Taiwan,False
1979-07-18,Italy,Northern Ireland,4,0,Euro,Naples,Italy,False
1979-07-18,Denmark,France,3,1,Euro,Naples,Italy,True
1979-07-19,England,Finland,3,1,Euro,Sorrento,Italy,True
1979-07-19,Sweden,Wales,3,0,Euro,Rimini,Italy,True
