home_team,away_team,tournament,city,country,neutral,year
Italy,France,Euro,Novara,Italy,False,1969
Denmark,England,Euro,Aosta,Italy,True,1969
England,France,Euro,Turin,Italy,True,1969
Italy,Denmark,Euro,Turin,Italy,False,1969
Thailand,Australia,AFC Championship,Hong Kong,Hong Kong,True,1975
Hong Kong,New Zealand,AFC Championship,Hong Kong,Hong Kong,False,1975
Thailand,Singapore,AFC Championship,Hong Kong,Hong Kong,True,1975
New Zealand,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1975
Australia,Singapore,AFC Championship,Hong Kong,Hong Kong,True,1975
Hong Kong,Malaysia,AFC Championship,Hong Kong,Hong Kong,False,1975
New Zealand,Australia,AFC Championship,Hong Kong,Hong Kong,True,1975
Thailand,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1975
Australia,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1975
New Zealand,Thailand,AFC Championship,Hong Kong,Hong Kong,True,1975
Taiwan,Indonesia,AFC Championship,Taipei,Taiwan,False,1977
Thailand,Singapore,AFC Championship,Taipei,Taiwan,True,1977
Indonesia,Japan,AFC Championship,Taipei,Taiwan,True,1977
Thailand,Hong Kong,AFC Championship,Taipei,Taiwan,True,1977
Taiwan,Japan,AFC Championship,Taipei,Taiwan,False,1977
Singapore,Hong Kong,AFC Championship,Taipei,Taiwan,True,1977
Taiwan,Singapore,AFC Championship,Taipei,Taiwan,False,1977
Thailand,Indonesia,AFC Championship,Taipei,Taiwan,True,1977
Singapore,Indonesia,AFC Championship,Taipei,Taiwan,True,1977
Taiwan,Thailand,AFC Championship,Taipei,Taiwan,False,1977
Italy,Northern Ireland,Euro,Naples,Italy,False,1979
Denmark,France,Euro,Naples,Italy,True,1979
England,Finland,Euro,Sorrento,Italy,True,1979
Sweden,Wales,Euro,Rimini,Italy,True,1979
Northern Ireland,Norway,Euro,Naples,Italy,True,1979
France,Scotland,Euro,Rimini,Italy,True,1979
Switzerland,Finland,Euro,Scafati,Italy,True,1979
Wales,Netherlands,Euro,Rimini,Italy,True,1979
Italy,Norway,Euro,Benevento,Italy,False,1979
Denmark,Scotland,Euro,Riccione,Italy,True,1979
England,Switzerland,Euro,Sorrento,Italy,True,1979
Sweden,Netherlands,Euro,Rimini,Italy,True,1979
Italy,England,Euro,Naples,Italy,False,1979
Denmark,Sweden,Euro,Rimini,Italy,True,1979
